user_id,body
u001,'{"user_id":"u002","connection_type":"Friend"}'
u001,'{"user_id":"u003","connection_type":"Friend"}'
u001,'{"user_id":"u004","connection_type":"Friend"}'
u001,'{"user_id":"u005","connection_type":"Friend"}'
u001,'{"user_id":"u006","connection_type":"Friend"}'
u002,'{"user_id":"u001","connection_type":"Friend"}'
u002,'{"user_id":"u007","connection_type":"Friend"}'
u002,'{"user_id":"u008","connection_type":"Friend"}'
u003,'{"user_id":"u001","connection_type":"Friend"}'
u003,'{"user_id":"u009","connection_type":"Friend"}'
u003,'{"user_id":"u010","connection_type":"Friend"}'
u004,'{"user_id":"u001","connection_type":"Friend"}'
u004,'{"user_id":"u011","connection_type":"Friend"}'
u004,'{"user_id":"u012","connection_type":"Friend"}'
u004,'{"user_id":"u013","connection_type":"Friend"}'
u005,'{"user_id":"u001","connection_type":"Friend"}'
u005,'{"user_id":"u014","connection_type":"Friend"}'
u005,'{"user_id":"u015","connection_type":"Friend"}'
u006,'{"user_id":"u001","connection_type":"Friend"}'
u006,'{"user_id":"u016","connection_type":"Friend"}'
u006,'{"user_id":"u017","connection_type":"Friend"}'
u006,'{"user_id":"u018","connection_type":"Friend"}'
u006,'{"user_id":"u019","connection_type":"Friend"}'
u007,'{"user_id":"u002","connection_type":"Friend"}'
u007,'{"user_id":"u020","connection_type":"Friend"}'
u007,'{"user_id":"u021","connection_type":"Friend"}'
u008,'{"user_id":"u002","connection_type":"Friend"}'
u008,'{"user_id":"u022","connection_type":"Friend"}'
u008,'{"user_id":"u023","connection_type":"Friend"}'
u009,'{"user_id":"u003","connection_type":"Friend"}'
u009,'{"user_id":"u024","connection_type":"Friend"}'
u010,'{"user_id":"u003","connection_type":"Friend"}'
u010,'{"user_id":"u025","connection_type":"Friend"}'
u010,'{"user_id":"u026","connection_type":"Friend"}'
u011,'{"user_id":"u004","connection_type":"Friend"}'
u011,'{"user_id":"u027","connection_type":"Friend"}'
u012,'{"user_id":"u004","connection_type":"Friend"}'
u012,'{"user_id":"u028","connection_type":"Friend"}'
u012,'{"user_id":"u029","connection_type":"Friend"}'
